name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats
maruti swift dzire vdi,2014.0,450000.0,145500.0,diesel,individual,manual,first owner,23.4,1248.0,74,5.0
skoda rapid 1.5 tdi ambition,2014.0,370000.0,120000.0,diesel,individual,manual,second owner,21.14,1498.0,103.52,5.0
honda city 2017-2020 exi,2006.0,158000.0,140000.0,petrol,individual,manual,third owner,17.7,1497.0,78,5.0
hyundai i20 sportz diesel,2010.0,225000.0,127000.0,diesel,individual,manual,first owner,23.0,1396.0,90,5.0
maruti swift vxi bsiii,2007.0,130000.0,120000.0,petrol,individual,manual,first owner,16.1,1298.0,88.2,5.0
hyundai xcent 1.2 vtvt e plus,2017.0,440000.0,45000.0,petrol,individual,manual,first owner,20.14,1197.0,81.86,5.0
maruti wagon r lxi duo bsiii,2007.0,96000.0,175000.0,lpg,individual,manual,first owner,17.3,1061.0,57.5,5.0
maruti 800 dx bsii,2014.0,45000.0,5000.0,petrol,individual,manual,second owner,16.1,796.0,37,4.0
toyota etios vxd,2011.0,350000.0,90000.0,diesel,individual,manual,first owner,23.59,1364.0,67.1,5.0
ford figo diesel celebration edition,2013.0,200000.0,169000.0,diesel,individual,manual,first owner,20.0,1399.0,68.1,5.0
renault duster 110ps diesel rxl,2014.0,500000.0,68000.0,diesel,individual,manual,second owner,19.01,1461.0,108.45,5.0
maruti zen lx,2005.0,92000.0,100000.0,petrol,individual,manual,second owner,17.3,993.0,60,5.0
maruti swift dzire vdi,2009.0,280000.0,140000.0,diesel,individual,manual,second owner,19.3,1248.0,73.9,5.0
maruti swift 1.3 vxi,2007.0,200000.0,80000.0,petrol,individual,manual,second owner,19.44,1248.0,74,5.0
maruti wagon r lxi minor,2009.0,180000.0,90000.0,petrol,individual,manual,second owner,18.9,1061.0,67,5.0
mahindra kuv 100 mfalcon g80 k8 5str,2016.0,400000.0,40000.0,petrol,individual,manual,first owner,18.15,1198.0,82,5.0
maruti ertiga shvs vdi,2016.0,778000.0,70000.0,diesel,individual,manual,second owner,24.52,1248.0,88.5,7.0
